advisee,startyear, collaborate_times
Maurizio Pighin,1997,10,1997,1,1998,1,2000,1,2001,2,2002,1,2003,2,2004,2
Juan Jose Fons,2000,4,2000,1,2001,3
Gianfranco Bilardi,1984,18,1984,3,1985,4,1986,2,1987,1,1989,5,1990,2,1991,1
D. Crouse,1995,1,1995,1
Matas Sileikis,2012,3,2012,1,2013,1,2015,1
Arpad Kelemen,2002,9,2002,2,2005,3,2008,3,2009,1
Yuzhuo Zhong,1997,27,1997,1,1999,1,2000,1,2001,5,2002,11,2003,4,2004,4
Beverly Coleman,2002,1,2002,1
David Ruiz 0003,2009,1,2009,1
David Ruiz 0002,2010,1,2010,1
Edy Tri Baskoro,1995,4,1995,1,1998,1,2000,1,2002,1
Zaiji Yuan,2009,1,2009,1
Marek Braun,2008,1,2008,1
D. Imbert,2012,2,2012,1,2015,1
Toshihiko Ryu,1984,4,1984,2,1986,2
Tobias Schaeffter,2003,18,2003,1,2004,1,2005,1,2007,3,2008,2,2009,4,2010,6
A. W. Vreman,2011,3,2011,1,2014,1,2016,1
Yosu Gorronogoitia,2010,2,2010,2
A. Aktta Patel,2011,1,2011,1
Jinfeng Hu,2003,14,2003,1,2004,5,2005,4,2007,3,2009,1
Gerald M. Saidel,1996,3,1996,1,2001,1,2003,1
Yuchan Yi,2005,1,2005,1
Jim Sweeney,2003,1,2003,1
Hilary Tunley,1991,5,1991,2,1994,2,1995,1
Keith T. Mason,2001,4,2001,2,2005,1,2006,1
Barbara Rizzi,2008,7,2008,2,2009,1,2010,3,2014,1
Kazuko Hirose,2010,1,2010,1
Akitaka Andoh,1998,1,1998,1
David Kurlander,1988,12,1988,2,1990,1,1991,1,1992,2,1993,3,1994,2,1995,1
Catia Dias,2011,2,2011,1,2014,1
Izabela Grasland,2003,2,2003,1,2004,1
Yuntian Wu,2011,1,2011,1
Richard Sidle,2000,2,2000,1,2002,1
Akihiko Fujii,2008,2,2008,1,2010,1
Marco De Sario,1991,2,1991,1,1996,1
Felipe Acebes,2001,1,2001,1
Arielle Lasry,2007,1,2007,1
